City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
163,Angoche,MZ,79.2,light rain,-16.2325,39.9086,Guest House HESADA
175,Half Moon Bay,US,54.99,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
182,Vila Velha,BR,75.94,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
184,San Patricio,US,62.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
188,Bathsheba,BB,76.71,scattered clouds,13.2167,-59.5167,Atlantis Hotel
189,Kalmunai,LK,79.39,light rain,7.4167,81.8167,VS Villa
190,Castro,BR,63.43,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
192,Guerrero Negro,MX,59.5,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
193,Coahuayana,MX,69.24,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
202,Virginia Beach,US,57.25,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
205,Pochutla,MX,74.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
209,Coari,BR,72.82,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
215,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Base Lodging
216,Cockburn Town,TC,77.18,clear sky,21.4612,-71.1419,Osprey Beach Hotel
223,Farafangana,MG,78.53,overcast clouds,-22.8167,47.8333,Miarina
224,Sechura,PE,73.99,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
225,Prainha,BR,70.5,overcast clouds,-1.8,-53.48,Casa Rocha
226,Neuquen,AR,60.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
229,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
231,Semnan,IR,59.09,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
233,Muroto,JP,62.76,clear sky,33.2833,134.15,Oota Ryokan
237,Road Town,VG,73.99,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
239,Champerico,GT,79.05,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
240,Nueve De Julio,AR,62.98,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
241,Westport,US,51.19,clear sky,41.1415,-73.3579,The Inn at Longshore
243,Coihaique,CL,57.15,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
247,Santa Ana,US,64.58,scattered clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
261,Te Anau,NZ,62.17,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
263,Hami,CN,53.87,overcast clouds,42.8,93.45,Laoyutang Resort
