City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Acarau,BR,2022-03-09 09:01:19,-2.8856,-40.12,24.95,88,80,4.09
68,Klaksvik,FO,2022-03-09 09:01:19,62.2266,-6.589,5.51,91,100,17.57
69,Murud,IN,2022-03-09 09:01:20,18.3258,72.965,31.1,47,1,5.86
70,Bogashevo,RU,2022-03-09 09:01:20,56.3683,85.1447,-12.09,52,0,6.0
71,El Viejo,NI,2022-03-09 09:01:21,12.6633,-87.1672,23.82,80,5,1.18
72,Bluff,NZ,2022-03-09 09:01:21,-46.6,168.3333,15.45,87,100,4.62
73,Buala,SB,2022-03-09 09:01:22,-8.145,159.5921,27.04,80,94,1.21
74,Port Macquarie,AU,2022-03-09 09:01:22,-31.4333,152.9167,21.0,75,72,7.98
75,Esperance,AU,2022-03-09 09:00:29,-33.8667,121.9,25.91,59,100,10.19
76,New Norfolk,AU,2022-03-09 09:01:23,-42.7826,147.0587,14.72,54,6,0.45
77,Itoman,JP,2022-03-09 09:01:23,26.1247,127.6694,19.01,52,20,6.17
78,Faanui,PF,2022-03-09 09:01:24,-16.4833,-151.75,27.37,73,100,5.31
79,Solnechnyy,RU,2022-03-09 09:01:24,50.7214,136.6319,-6.49,97,80,2.41
80,Matay,EG,2022-03-09 09:01:25,28.419,30.7792,21.64,42,0,8.79
81,Atuona,PF,2022-03-09 09:01:26,-9.8,-139.0333,25.85,80,27,7.47
82,Lugoba,TZ,2022-03-09 09:01:26,-6.45,38.3333,32.75,46,100,2.8
83,Rosarito,MX,2022-03-09 09:01:26,32.3333,-117.0333,11.73,51,0,1.44
84,Iqaluit,CA,2022-03-09 09:01:20,63.7506,-68.5145,-27.15,76,40,5.14
85,Tura,IN,2022-03-09 09:01:27,25.5198,90.2201,32.48,16,0,3.29
86,Mahebourg,MU,2022-03-09 09:01:28,-20.4081,57.7,30.14,77,34,4.43
87,Kaeo,NZ,2022-03-09 09:01:28,-35.1,173.7833,19.62,81,37,4.12
88,Lorengau,PG,2022-03-09 09:01:29,-2.0226,147.2712,25.0,86,100,1.66
89,Inyonga,TZ,2022-03-09 09:01:29,-6.7167,32.0667,27.18,63,100,0.56
90,Mnogovershinnyy,RU,2022-03-09 09:01:30,53.9353,139.9242,-13.37,87,13,1.29
91,Sorong,ID,2022-03-09 09:01:30,-0.8833,131.25,28.77,73,73,2.17
92,Elat,IL,2022-03-09 09:01:30,29.5581,34.9482,19.91,49,0,3.6
93,Gidole,ET,2022-03-09 09:01:31,5.65,37.3667,25.9,23,78,0.78
94,Thibodaux,US,2022-03-09 09:01:31,29.7958,-90.8229,12.99,91,100,2.68
95,Portland,US,2022-03-09 08:56:45,45.5234,-122.6762,7.69,92,100,0.45
96,Cayenne,GF,2022-03-09 09:01:32,4.9333,-52.3333,25.05,86,75,2.57
97,Norman Wells,CA,2022-03-09 09:01:32,65.282,-126.8329,-17.61,96,100,1.87
98,Antalaha,MG,2022-03-09 09:01:33,-14.9003,50.2788,28.0,74,100,1.9
99,Kamenka,RU,2022-03-09 09:01:33,51.3223,42.7678,-6.25,90,99,6.05
100,Qaanaaq,GL,2022-03-09 09:01:34,77.484,-69.3632,-21.89,61,13,4.07
101,Cidreira,BR,2022-03-09 09:01:34,-30.1811,-50.2056,24.05,79,100,5.48
102,Broome,US,2022-03-09 09:01:34,42.2506,-75.833,-1.12,71,100,0.89
103,Puerto Ayora,EC,2022-03-09 09:01:35,-0.7393,-90.3518,22.53,100,25,0.89
104,Broken Hill,AU,2022-03-09 09:01:35,-31.95,141.4333,23.57,32,0,6.58
105,Bandarbeyla,SO,2022-03-09 09:01:36,9.4942,50.8122,27.02,56,89,5.18
106,Merke,KZ,2022-03-09 09:01:36,42.8728,73.1786,8.56,77,100,1.64
107,Vao,NC,2022-03-09 09:01:36,-22.6667,167.4833,26.5,74,4,3.14
108,Cap Malheureux,MU,2022-03-09 09:01:37,-19.9842,57.6142,30.26,75,33,4.47
109,Buckeye,US,2022-03-09 09:00:00,33.3703,-112.5838,12.13,31,0,0.9
110,Tuatapere,NZ,2022-03-09 09:01:38,-46.1333,167.6833,15.46,93,100,0.94
111,Wajir,KE,2022-03-09 09:01:38,1.7471,40.0573,34.12,32,75,5.2
